Thousand barrels daily,2019
Canada,2537
Mexico,1698
US,19475
Argentina,563
Brazil,2438
Chile,379
Colombia,337
Ecuador,249
Peru,275
Trinidad & Tobago,39
Venezuela,296
Central America,473
Other Caribbean,610
Other South America,230
Austria,265
Belgium,650
Bulgaria,102
Croatia,69
Cyprus,52
Czech Republic,209
Denmark,152
Estonia,27
Finland,196
France,1528
Germany,2270
Greece,304
Hungary,177
Iceland,19
Ireland,153
Italy,1259
Latvia,38
Lithuania,66
Luxembourg,61
Netherlands,807
North Macedonia,22
Norway,212
Poland,679
Portugal,247
Romania,221
Slovakia,83
Slovenia,52
Spain,1287
Sweden,291
Switzerland,216
Turkey,996
Ukraine,244
United Kingdom,1531
Other Europe ,343
Azerbaijan,104
Belarus,144
Kazakhstan,387
Russian Federation,3393
Turkmenistan,149
USSR,n/a
Uzbekistan,98
Other CIS,91
Iran,1841
Iraq,716
Israel,254
Kuwait,446
Oman,240
Qatar,375
Saudi Arabia,3635
United Arab Emirates,969
Other Middle East,535
Algeria,430
Egypt,734
Morocco,292
South Africa,567
Eastern Africa,647
Middle Africa,232
Western Africa,816
Other Northern Africa,318
Other Southern Africa,61
Australia,1031
Bangladesh,176
China,14005
China Hong Kong SAR,408
India,5148
Indonesia,1626
Japan,3689
Malaysia,841
New Zealand,178
Pakistan,446
Philippines,459
Singapore,1401
South Korea,2703
Sri Lanka,123
Taiwan,1022
Thailand,1405
Vietnam,557
Other Asia Pacific,479
Total World,97598
